%time,field.header.seq,field.header.stamp,field.header.frame_id,field.utc_time,field.latitude,field.longitude,field.depth,field.altitude,field.roll,field.pitch,field.heading,field.fwd_velocity,field.stbd_velocity,field.dwn_velocity,field.fwd_ang_rate,field.stbd_ang_rate,field.dwn_ang_rate,field.sound_velocity,field.temperature,field.position_quality,field.heading_quality,field.velocity_quality,field.error,field.mode,field.heading_valid,field.altitude_valid,field.velocity_valid,field.depth_valid,field.sound_velocity_valid,field.temperature_valid,field.position_valid,field.utc_time_valid
1652282688606684119,1820,1652282688606684119,world,1652282688.597534,51.2457637488842,-2.4231463484466076,13.055,0.0,-1.3145,-3.3714999999999997,207.988,-0.03,-0.012,-0.012,0.99,0.143,0.011,1449.3899999999999,13.75,0.4854747951030731,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282688626736131,1821,1652282688626736131,world,1652282688.6175349,51.2457637488842,-2.4231463484466076,13.055,0.0,-1.3145,-3.3604999999999996,207.988,-0.03,-0.009000000000000001,-0.013000000000000001,-0.319,0.32999999999999996,0.0,1449.3899999999999,13.75,0.4854747951030731,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282688646695516,1822,1652282688646695516,world,1652282688.637534,51.2457637488842,-2.4231463484466076,13.055,0.0,-1.3255,-3.3659999999999997,207.988,-0.031,-0.008,-0.012,-0.495,-0.484,0.0,1449.3899999999999,13.75,0.4854747951030731,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282688666716980,1823,1652282688666716980,world,1652282688.6575348,51.2457637488842,-2.4231463484466076,13.055,0.0,-1.3255,-3.3714999999999997,207.988,-0.031,-0.011,-0.013000000000000001,-0.286,-0.363,0.0,1449.3899999999999,13.75,0.4854747951030731,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282688686696296,1824,1652282688686696296,world,1652282688.6775339,51.24576379079372,-2.4231463484466076,13.054,0.0,-1.3145,-3.3659999999999997,207.9825,-0.03,-0.011,-0.013000000000000001,-0.143,0.473,-0.011,1449.3899999999999,13.75,0.4854747951030731,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282688711751246,1825,1652282688711751246,world,1652282688.697535,51.24576379079372,-2.423146264627576,13.054,0.0,-1.3199999999999998,-3.3604999999999996,207.9825,-0.031,-0.008,-0.012,0.011,0.121,0.0,1449.3899999999999,13.75,0.4854747951030731,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282688726703169,1826,1652282688726703169,world,1652282688.7175338,51.24576379079372,-2.423146264627576,13.054,0.0,-1.3199999999999998,-3.3714999999999997,207.9825,-0.031,-0.01,-0.012,0.473,-0.308,0.022,1449.3899999999999,13.75,0.4854747951030731,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282688751689152,1827,1652282688751689152,world,1652282688.737536,51.24576379079372,-2.423146264627576,13.053,0.0,-1.3145,-3.3714999999999997,207.9825,-0.03,-0.011,-0.013000000000000001,0.9239999999999999,0.19799999999999998,-0.022,1449.3899999999999,13.75,0.4854747951030731,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282688771731411,1828,1652282688771731411,world,1652282688.757534,51.24576379079372,-2.423146264627576,13.053,0.0,-1.3145,-3.3604999999999996,207.9825,-0.03,-0.009000000000000001,-0.013000000000000001,-0.363,0.308,-0.022,1449.3899999999999,13.75,0.4854747951030731,0.125,0.02,0,1,1,0,1,1,1,1,1,1
1652282688791687980,1829,1652282688791687980,world,1652282688.777536,51.24576379079372,-2.423146264627576,13.053,0.0,-1.3199999999999998,-3.3659999999999997,207.9825,-0.031,-0.008,-0.012,-0.5499999999999999,-0.693,0.0,1449.3899999999999,13.75,0.4854747951030731,0.125,0.02,0,1,1,0,1,1,0,1,1,1
